nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,9.5e-06,3.25378,0,0,0,0,0,,
1,0,9.5e-06,47.74,0,0,0,0,0,,
2,0,9.5e-06,47.74,0,0,0,0,0,,
3,0,9.5e-06,238.023,0,0,0,0,0,,
4,0,9.5e-06,46.4646,0,0,0,0,0,,
5,0,9.5e-06,46.4646,0,0,0,0,0,,
6,0,9.5e-06,132.435,0,0,0,0,0,,
7,0,9.5e-06,132.435,0,0,0,0,0,,
8,0,9.5e-06,210.902,0,0,0,0,0,,
9,0,9.5e-06,3.25378,0,0,0,0,0,,
10,0,9.5e-06,365.789,0,1,0,1,0,,
11,0,9.5e-06,75.7344,0,1,0,1,0,,
12,0,9.5e-06,37.6459,0,1,0,1,0,,
13,0,9.5e-06,86.6662,0,1,0,1,0,,
14,0,9.5e-06,37.6459,0,1,0,1,0,,
15,0,9.5e-06,86.6662,0,1,0,1,0,,
16,0,9.5e-06,169.007,0,1,0,1,0,,
17,0,9.5e-06,169.61,0,1,0,1,0,,
18,0,9.5e-06,75.7344,0,1,0,1,0,,
19,0,9.5e-06,274.754,0,1,0,1,0,,
20,0,9.5e-06,11.3965,0,2,0,2,0,,
21,0,9.5e-06,109.671,0,2,0,2,0,,
22,0,9.5e-06,43.3824,0,2,0,2,0,,
23,0,9.5e-06,11.3965,0,2,0,2,0,,
24,0,9.5e-06,43.3824,0,2,0,2,0,,
25,0,9.5e-06,145.291,0,2,0,2,0,,
26,0,9.5e-06,174.931,0,2,0,2,0,,
27,0,9.5e-06,146.834,0,2,0,2,0,,
28,0,9.5e-06,265.397,0,2,0,2,0,,
29,0,9.5e-06,109.671,0,2,0,2,0,,
30,0,9.5e-06,82.7088,0,3,0,3,0,,
31,0,9.5e-06,43.501,0,3,0,3,0,,
32,0,9.5e-06,604.697,0,3,0,3,0,,
33,0,9.5e-06,43.501,0,3,0,3,0,,
34,0,9.5e-06,86.2476,0,3,0,3,0,,
35,0,9.5e-06,149.466,0,3,0,3,0,,
36,0,9.5e-06,237.388,0,3,0,3,0,,
37,0,9.5e-06,149.466,0,3,0,3,0,,
38,0,9.5e-06,237.388,0,3,0,3,0,,
39,0,9.5e-06,82.7088,0,3,0,3,0,,
50,3.25378,9.5e-06,234.769,234.769,0,0,0,0,,9;0
96,11.3965,9.5e-06,654.52,654.52,2,0,2,0,,20;23
254,37.6459,9.5e-06,321.805,321.805,1,0,1,0,,14;12
302,43.3824,9.5e-06,131.549,131.549,2,1,2,1,,22;24
306,43.501,9.5e-06,138.611,138.611,3,1,3,1,,31;33
327,46.4646,9.5e-06,164.437,164.437,0,1,0,1,,4;5
338,47.74,9.5e-06,246.841,246.841,0,0,0,0,,1;2
531,75.7344,9.5e-06,93.2724,93.2724,1,0,1,0,,11;18
581,82.7088,9.5e-06,3.53878,3.53878,3,1,3,1,,30;39
604,86.2476,9.5e-06,95.8642,95.8642,3,1,3,1,,581;34
606,86.6662,9.5e-06,82.9433,82.9433,1,1,1,1,,15;13
727,109.671,9.5e-06,35.62,35.62,2,1,2,1,,29;21
866,132.435,9.5e-06,162.146,162.146,0,1,0,1,,7;6
926,145.291,9.5e-06,1.54324,1.54324,2,1,2,1,,727;25
933,146.834,9.5e-06,519.082,519.082,2,1,2,1,,27;926
947,149.466,9.5e-06,736.411,736.411,3,1,3,1,,35;37
1033,169.007,9.5e-06,190.445,190.445,1,1,1,1,,531;16
1039,169.61,9.5e-06,105.145,105.145,1,0,1,0,,606;17
1070,174.931,9.5e-06,90.4659,90.4659,2,0,2,0,,26;302
1108,182.112,9.5e-06,452.7,452.7,3,1,3,1,,604;306
1216,210.902,9.5e-06,353.237,353.237,0,1,0,1,,327;8
1305,237.388,9.5e-06,367.309,367.309,3,1,3,1,,38;36
1309,238.023,9.5e-06,1255.97,1255.97,0,1,0,1,,50;3
1413,265.397,9.5e-06,773.135,773.135,2,1,2,1,,1070;28
1457,274.754,9.5e-06,672.406,672.406,1,1,1,1,,1039;19
1535,294.581,9.5e-06,269.559,269.559,0,1,0,1,,866;338
1738,359.451,9.5e-06,6.33812,6.33812,1,1,1,1,,254;1033
1753,365.789,9.5e-06,581.371,581.371,1,1,1,1,,1738;10
2151,564.139,9.5e-06,929.855,929.855,0,1,0,1,,1216;1535
2235,604.697,9.5e-06,30.1142,30.1142,3,1,3,1,,1305;32
2273,634.812,9.5e-06,251.065,251.065,3,1,3,1,,1108;2235
2319,665.916,9.5e-06,372.616,372.616,2,1,2,1,,933;96
2564,885.877,9.5e-06,1485.72,1485.72,3,1,3,1,,2273;947
2614,947.16,9.5e-06,17874.8,17874.8,1,0,1,0,,1753;1457
2682,1038.53,9.5e-06,4419.84,4419.84,2,1,2,1,,2319;1413
2969,1493.99,9.5e-06,877.6,877.6,0,0,0,0,,2151;1309
3273,2371.59,9.5e-06,3086.77,3086.77,0,0,0,0,,2969;2564
3907,5458.37,9.5e-06,13363.6,13363.6,0,1,0,1,,2682;3273
4516,18822,9.5e-06,0,0,0,1,0,1,,3907;2614
